contract_number,county,project_description,project_length,project_length_unit
CNN221,DEKALB,THE RESURFACING (THIN MIX OVERLAY) ON S.R. 53 FROM THE CANNON COUNTY LINE (L.M. 0.00) TO THE SMITH COUNTY LINE (L.M. 5.17).,5.17,MILES
CNN119,DICKSON,THE REPAIR OF THE BRIDGE ON S.R. 48 OVER I-40 (L.M. 0.21).,0,MILES
CNN226,DICKSON AND MONTGOMERY,"BRIDGE REPAIR ON S.R. 250 IN DICKSON COUNTY OVER THE HARPETH RIVER (L.M. 6.14), AND ON S.R. 238 IN MONTGOMERY COUNTY OVER SPRING CREEK (L.M. 8.23).",0,MILES
CNN230,DYER,THE RESURFACING ON U.S. 51 (S.R. 3) FROM BIFFLE ROAD (L.M. 18.00) TO SOUTH OF S.R. 105 (L.M. 24.20).,6.2,MILES
CNN250,FAYETTE,"THE RESURFACING (THIN MIX OVERLAY) ON S.R. 196 FROM S.R. 15 TO HICKORY WITHE ROAD, AND ON S.R. 193 FROM THE SHELBY COUNTY LINE TO S.R. 194.",14.33,MILES
CNN240,GRAINGER,THE RESURFACING ON S.R. 92 FROM THE HOLSTON RIVER BRIDGE (L.M. 0.05) TO U.S. 11W (S.R. 1) (L.M. 9.24).,9.19,MILES
CNN231,HENRY,THE RESURFACING ON S.R. 140 FROM WEST OF REX JACKSON LOOP (L.M. 31.57) TO S.R. 76 (L.M. 40.41).,8.84,MILES
CNN243,HOUSTON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 49 FROM S.R. 13 (L.M. 5.98) TO S.R. 46 (L.M. 9.90).,3.92,MILES
CNN213,HUMPHREYS,THE RESURFACING ON S.R. 13 FROM THE TRACE CREEK BRIDGE (L.M. 19.35) TO BROWN HOLLOW ROAD (L.M. 25.87).,6.33,MILES
CNN258,KNOX,THE INSTALLATION OF SIGNALS AT THE INTERSECTION OF MILL ROAD AND MILLERTOWN PIKE IN KNOXVILLE.,0,MILES
CNN008,KNOX,"THE GRADING, DRAINAGE, AND PAVING ON I-140 EASTBOUND AT THE INTERSECTION OF WESTLAND DRIVE (EXIT 3) (L.M. 2.68).",0.261,MILES
CNN237,KNOX,THE REPAIR OF THE BRIDGE ON U.S. 25W (S.R. 9) OVER THE I-275 NB EXIT RAMP (L.M. 7.18).,0,MILES
CNN260,LAUDERDALE,THE RESURFACING (THIN MIX OVERLAY) ON S.R. 88 FROM EDITH-NANKIPOO ROAD (L.M. 14.58) TO S.R. 210 (L.M. 16.25).,1.67,MILES
CNN223,LAWRENCE,THE RESURFACING ON U.S. 43 (S.R. 6) FROM SOUTH OF 4TH STREET (L.M. 21.00) TO BEASLEY ROAD (L.M. 23.16).,2.16,MILES
CNN244,LAWRENCE,THE PAVING ON U.S. 64 (S.R. 15) FROM EXISTING S.R. 15 WEST OF LAWRENCEBURG TO EAST OF U.S. 43 (S.R. 6).,5.72,MILES
CNN209,LINCOLN,THE INSTALLATION OF SIGNALS ON U.S. 64 BYPASS (S.R. 15) AT THE GOODMAN MANUFACTURING PLANT ENTRANCE IN FAYETTEVILLE.,0,MILES
CNN222,MARION,"THE RESURFACING (THIN MIX OVERLAY) ON S.R. 27, S.R. 28 AND S.R. 422 IN MARION COUNTY.",6.16,MILES
CNN215,MARSHALL,THE RESURFACING (THIN MIX OVERLAY) ON U.S. 31A (S.R. 106) FROM S.R. 50 (L.M. 3.50) TO THE MAURY COUNTY LINE (L.M. 10.57).,6.509,MILES
CNN234,OBION,"THE RESURFACING ON S.R. 431 FROM THE NORTH FORK OBION RIVER BRIDGE TO S.R. 3, AND ON S.R. 5 FROM S.R. 431 TO S.R. 3.",5.51,MILES
CNN229,PERRY,THE RESURFACING (THIN MIX OVERLAY) ON S.R. 13 FROM CLAYTON DRIVE (L.M. 18.47) TO MUDSPRING HOLLOW ROAD (L.M. 24.20).,5.73,MILES
CNN225,PICKETT,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 111 FROM THE OVERTON COUNTY LINE (L.M. 0.00) TO NEAR THE KENTUCKY STATE LINE (L.M. 11.40).,11.4,MILES
CNN169,PUTNAM,"THE SLIDE MITIGATION ON S.R. 84 AT L.M. 10.5 AND L.M. 11.0, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.62,MILES
CNN227,RHEA,"THE GRADING, DRAINAGE, AND PAVING ON A S.I.A. ROUTE SERVING GENERAL SHALE BRICK IN SPRING CITY.",0.953,MILES
CNN241,ROANE,"THE RESURFACING (THIN MIX OVERLAY) ON S.R. 58 FROM EAST OF I-40 (WESTBOUND RAMP) TO THE S.R. 95 UNDERPASS, AND IMPROVEMENT OF THE INTERSECTION ON S.R. 95 AT BETHEL VALLEY ROAD.",7.003,MILES
CNN201,ROANE,"THE GRADING, DRAINAGE, AND PAVING ON S.R. 29 (RURITAN ROAD) FROM PINE RIDGE ROAD TO S.R. 61 IN HARRIMAN.",0.892,MILES
CNN259,ROANE,THE REPAIR OF THE BRIDGE ON I-40 OVER OAKDALE ROAD (L.M. 1.08).,0,MILES
CNN211,ROBERTSON,"THE GRADING, DRAINAGE, AND PAVING ON A S.I.A. ROUTE SERVING PROJECT VAUGHN PARKWAY.",1.161,MILES
CNN127,SHELBY,"THE REPAIR OF BRIDGES ON S.R. 14 OVER I-55 (L.M. 7.46), AND ON SOUTH PARKWAY WEST OVER I-55 (L.M. 0.00).",0,MILES
CNN255,SUMNER,THE INSTALLATION OF A FLASHING SCHOOL SIGN AT THE HOWARD ELEMENTARY SCHOOL IN GALLATIN.,0.32,MILES
CNN245,WAYNE,THE RESURFACING ON U.S. 64 (S.R. 15) FROM OLD HIGHWAY 64 (L.M. 14.89) TO HURRICANE CREEK (L.M. 15.51).,0.62,MILES
CNN242,WILSON,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 231 (S.R. 10, CUMBERLAND STREET) AT U.S. 70 (S.R. 24, MAIN STREET) IN LEBANON, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.151,MILES
CNN930,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON,
JACKSON, MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",THE RETRACING OF PAVEMENT MARKING WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNN935,CAMPBELL AND COCKE,"THE INSTALLATION OF RETRACTABLE MEDIAN BARRIER GATES ON I-75 (L.M. 27.30, L.M. 28.15 & L.M. 29.20) IN CAMPBELL COUNTY AND ON I-40 (L.M. 14.75 & L.M. 15.70) IN COCKE COUNTY.",0,MILES
CNN931,FRANKLIN,"THE CONSTRUCTION OF A BRIDGE ON LEON STEPHENS LANE OVER CROW CREEK (L.M. 0.18) USING EITHER CONCRETE I-BEAMS OR ROLLED STEEL GIRDERS, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.266,MILES
CNN933,LINCOLN,THE INSTALLATION OF SIGNALS ON U.S. 231 (S.R. 10) AT THE INTERSECTION OF S.R. 275 (LINCOLN ROAD).,0.012,MILES
CNN926,SUMNER,"THE INTERSECTION OF STOP THIRTY ROAD/OLD SHACKLE ISLAND ROAD, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.135,MILES
CNN936,WASHINGTON,"THE GRADING, DRAINAGE, AND PAVING ON TELFORD ROAD FROM S.R. 353 (L.M. 0.00) TO U.S. 11E (U.S. 321, S.R. 34) (L.M. 1.35)",0.781,MILES
CNN270,ANDERSON,THE RESURFACING ON EMORY VALLEY ROAD FROM WEST OF DAVIDSON LANE (L.M. 1.67) TO LAFAYETTE DRIVE (L.M. 2.96).,1.29,MILES
CNN286,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, JEFFERSON,
JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",THE RANDOM ON-CALL REPAIR OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNN299,"BENTON, CARROLL, CHESTER, DYER, HARDEMAN, HARDIN, HENDERSON, MADISON, AND SHELBY",THE MISCELLANEOUS SAFETY IMPROVEMENTS USING HIGH FRICTION SURFACE TREATMENT ON VARIOUS STATE ROUTES.,0,MILES
CNN289,"BENTON, CROCKETT, DECATUR, DYER, FAYETTE, HAYWOOD, HENDERSON, MADISON, OBION, SHELBY, AND TIPTON",THE RANDOM ON-CALL REPAIR OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNN287,"BRADLEY, COFFEE, CUMBERLAND, GRUNDY, HAMILTON, MARION, PUTNAM, AND SEQUATCHIE",THE RANDOM ON-CALL REPAIR OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNN300,"BRADLEY, CUMBERLAND, HAMILTON, POLK, PUTNAM, AND VAN BUREN",THE MISCELLANEOUS SAFETY IMPROVEMENTS USING HIGH FRICTION SURFACE TREATMENT ON VARIOUS STATE ROUTES.,0,MILES
CNN288,"CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HUMPHREYS, LAWRENCE, MAURY, RUTHERFORD, SMITH, SUMNER,
WILLIAMSON, AND WILSON",THE RANDOM ON-CALL REPAIR OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNN265,"CHEATHAM, DICKSON, AND MONTGOMERY","THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS IN DICKSON, CHEATHAM AND MONTGOMERY COUNTIES.",22.96,MILES
CNN276,COCKE,THE REPAIR OF THE BRIDGE ON S.R. 32 OVER COSBY CREEK (L.M. 9.84).,0,MILES
CNN205,"COFFEE, GRUNDY, AND MARION",THE EXPANSION OF THE RURAL SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) ON I-24.,47.8,MILES
CNN281,CUMBERLAND,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER THE CANEY FORK RIVER (L.M. 6.36).,0,MILES
CNN268,CUMBERLAND,"THE GRADING, DRAINAGE, AND PAVING ON A S.I.A. ROUTE SERVING COLINX LLC IN CROSSVILLE.",0.317,MILES
CNN283,DAVIDSON,"THE REPAIR OF THE BRIDGES ON S.R. 45 OVER THE CUMBERLAND RIVER (L.M. 9.26, LEFT & RIGHT).",0,MILES
CNN301,DYER,THE REPAIR OF THE BRIDGES ON S.R. 104 OVER THE OBION RIVER (L.M. 6.89) AND S.R. 182 OVER COON CREEK (L.M. 4.34).,0,MILES
CNN303,DYER,"THE GRADING, DRAINAGE, AND PAVING ON A S.I.A. ROUTE SERVING DOT FOODS, INC IN DYERSBURG.",0,MILES
CNN269,GRAINGER,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNN294,HAMILTON,THE REPAIR OF THE BRIDGE ON SOUTH CREST ROAD OVER I-24 AND EAST MAIN STREET (L.M. 3.06).,0,MILES
CNN295,KNOX,"THE GRADING, DRAINAGE, AND PAVING ON THE I-40 WESTBOUND RAMP AT CAMPBELL STATION ROAD (L.M. 3.83).",0.746,MILES
CNN275,LOUDON,"THE IMPROVEMENT OF THE INTERSECTION ON U.S. 11 (S.R. 2, EAST LEE HIGHWAY) AT S.R. 324 (L.M. 9.55), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.181,MILES
CNN238,LOUDON,"THE GRADING, DRAINAGE, AND PAVING ON U.S. 321 (S.R. 73) AT THE I-40 EASTBOUND RAMPS (EXIT 364) IN LENOIR CITY.",0.43,MILES
CNN291,OVERTON,THE REPAIR OF THE BRIDGE ON S.R. 136 OVER MILL CREEK (L.M. 14.30) IN STANDING STONE STATE PARK.,0,MILES
CNN272,RHEA,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNN239,RHEA,THE REPAIR OF THE BRIDGE ON S.R. 378 OVER LITTLE RICHLAND CREEK (L.M. 1.58).,0,MILES
CNN246,SMITH,THE MISCELLANEOUS SAFETY IMPROVEMENTS AND RESURFACING ON S.R. 264 FROM THE DEKALB COUNTY LINE (L.M. 0.00) TO S.R. 141 (L.M. 5.30).,5.3,MILES
CNN290,SULLIVAN,"THE CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE, A PEDESTRIAN BRIDGE, RETAINING WALL, AND INTERSECTION IMPROVEMENTS ON S.R. 126 SERVING EASTMAN CORPORATE BUSINESS CENTER.",0.48,MILES
CNN298,SUMNER,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 76 FROM U.S. 31W (S.R. 41) (L.M. 0.00) TO S.R. 109 (L.M. 10.34).,10.34,MILES
CNN278,UNICOI,THE REPAIR OF THE BRIDGE ON U.S. 19W (S.R. 36) OVER WATTS BRANCH (L.M. 4.19).,0,MILES
CNN271,WARREN,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNN292,WHITE,THE REPAIR OF THE BRIDGE ON S.R. 111 (SPENCER HIGHWAY) OVER CALFKILLER RIVER (L.M. 6.37) IN SPARTA.,0,MILES
CNN279,HAMILTON,"THE GRADING, DRAINAGE, AND PAVING ON S.R. 317 (APISON PIKE) FROM OLD LEE HIGHWAY (L.M. 5.58) TO S.R. 321 (OOLTEWAH- RINGGOLD ROAD) (L.M. 7.84).",2.247,MILES
CNN938,CLAIBORNE,"THE CONSTRUCTION OF TURN LANES ON S.R. 345 AT THE INTERSECTION OF U.S. 25E (S.R. 32) IN TAZEWELL (L.M. 0.00 TO L.M. 0.06), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.165,MILES
CNN934,DAVIDSON,"THE REPAIR OF TWO BRIDGES ON I-24 OVER THE CUMBERLAND RIVER (L.M. 15.42, L & R).",0,MILES
CNN344,"ANDERSON, CAMPBELL, AND MORGAN",THE MISCELLANEOUS SAFETY IMPROVEMENTS INCLUDING RESURFACING ON S.R. 116 FROM S.R. 62 IN MORGAN COUNTY (L.M. 0.00) TO THE CAMPBELL COUNTY LINE IN ANDERSON COUNTY (L.M. 9.73).,15.95,MILES
CNN314,BENTON AND DECATUR,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 69A FROM REYNOLDSBURG ROAD TO CEDAR GROVE ROAD, AND ON MT. CARMEL ROAD FROM S.R. 100 TO THREE WAY ROAD.",23.32,MILES
CNN318,BLEDSOE AND SEQUATCHIE,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS IN BLEDSOE AND SEQUATCHIE COUNTIES.,0,MILES
CNN307,BRADLEY,THE CONSTRUCTION OF A NEW INTERCHANGE ON U.S. 74 (S.R. 311) BETWEEN I-75 (EXIT 20) AND U.S. 11/64 (S.R. 2) AT STONE LAKE EXTENSION IN CLEVELAND.,1.117,MILES
CNN319,BRADLEY,"THE GRADING, DRAINAGE AND PAVING WITH PORTLAND CEMENT CONCRETE ON THE I-75 NORTHBOUND AND SOUTHBOUND OFF RAMPS AT S.R. 308 (EXIT 33), INCLUDING INSTALLATION OF SIGNALS.",0,MILES
CNN308,CAMPBELL,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS IN CAMPBELL COUNTY.,0,MILES
CNN297,CHEATHAM,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 249 AND ON OLD CLARKSVILLE PIKE.,27.5,MILES
CNN320,CUMBERLAND,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS IN CUMBERLAND COUNTY.,0,MILES
CNN331,"DAVIDSON, ROBERTSON, AND SUMNER",THE EXPANSION OF THE REGION 3 SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) ON I-65 NORTH.,16.6,MILES
CNN349,"DAVIDSON, RUTHERFORD, AND WILLIAMSON",THE MISCELLANEOUS SAFETY IMPROVEMENTS AT VARIOUS STOP CONTROLLED INTERSECTIONS ON VARIOUS STATE ROUTES.,0,MILES
CNN333,DAVIDSON AND WILLIAMSON,THE EXPANSION OF THE REGION 3 SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) ON I-65 SOUTH.,21.014,MILES
CNN195,FAYETTE AND HAYWOOD,"THE GRADING, DRAINAGE, AND PAVING ON S.R. 222 FROM NORTH OF I-40 TO SOUTH OF CAMP GROUND ROAD.",3.491,MILES
CNN347,GRAINGER,"THE INSTALLATION OF SIGNALS ON U.S. 11W (S.R. 1, NEW LEE HIGHWAY) AT THE INTERSECTION OF BROADWAY DRIVE (L.M. 30.23).",0,MILES
CNN302,GREENE,"THE CONSTRUCTION OF TWO (2) SMALL DRAINAGE STRUCTURES ON S.R. 93 AT LOG MILE 2.15 AND LOG MILE 8.00, INCLUDING GRADING, DRAINAGE AND PAVING.",0.082,MILES
CNN304,HAMILTON,"THE IMPROVEMENT OF THE INTERSECTION ON S.R. 317 (BONNY OAKS DRIVE) AND VOLKSWAGEN DRIVE (L.M. 3.85) SERVING VOLKSWAGEN GROUP OF AMERICA, INCLUDING GRADING, DRAINAGE AND PAVING.",0.301,MILES
CNN266,HARDIN,"THE GRADING, DRAINAGE, CONSTRUCTION OF TWO CONCRETE BULB-TEE BEAM BRIDGES AND PAVING ON U.S. 64 (S.R. 15) FROM FIRETOWER ROAD (L.M. 15.04) TO WEST OF BIGBEE BRANCH (L.M. 21.11).",6.079,MILES
CNN352,HAWKINS AND SULLIVAN,THE CONSTRUCTION OF TURN LANES ON U.S. 11W (S.R. 1) AT THE INTERSECTIONS OF EAST AVENUE (L.M. 41.23) AND WALNUT AVENUE (L.M. 2.24) IN KINGSPORT.,0,MILES
CNN114,HENRY,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE AND PAVING ON S.R. 218 FROM S.R. 69 NORTHWEST OF PARIS TO U.S. 641 (S.R. 54).",2.643,MILES
CNN348,KNOX,THE KNOXVILLE SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) MAINTENANCE (2015- 2017).,0,MILES
CNN282,KNOX,"THE IMPROVEMENT OF THE INTERSECTION ON S.R. 331 (TAZEWELL PIKE) AT S.R. 131 (EMORY ROAD), INCLUDING GRADING, DRAINAGE AND PAVING.",0.699,MILES
CNN317,LOUDON,THE INSTALLATION OF SIGNALS ON U.S. 411 (S.R. 33) AT THE INTERSECTION OF S.R. 95 (OLD NILES FERRY ROAD) (L.M. 3.20).,0,MILES
CNN183,MARION,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON MURPHY HOLLOW ROAD (L.M. 0.07) OVER I-24 WEST OF MILE MARKER 165, INCLUDING GRADING, DRAINAGE AND PAVING.",0.185,MILES
CNN342,MARSHALL,THE SAFETY IMPROVEMENTS INCLUDING RESURFACING ON U.S. 31A (S.R. 11) FROM PINE STREET (L.M. 4.27) TO NORTH OF KENNEDY LANE (L.M. 4.38) IN CORNERSVILLE.,0.11,MILES
CNN350,MCNAIRY,"THE CONSTRUCTION OF A BOX BEAM BRIDGE ON S.R. 57 OVER CYPRESS CREEK (L.M. 8.25), INCLUDING GRADING, DRAINAGE AND PAVING.",0.152,MILES
CNN321,MONTGOMERY,"THE GRADING, DRAINAGE, CONSTRUCTION OF TWO BULB-TEE BEAM BRIDGES AND PAVING ON S.R. 237 FROM WEST OF I-24 (L.M. 1.93) TO EAST OF INTERNATIONAL BOULEVARD (L.M. 2.95).",1.024,MILES
CNN335,MORGAN,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING COBB-VANTRESS, INC.",0.768,MILES
CNN322,PUTNAM,THE REPAIR OF THE BRIDGE ON S.R. 56 OVER I-40 (L.M. 0.54).,0,MILES
CNN315,RUTHERFORD,THE IMPROVEMENT OF THE INTERSECTION ON S.R. 96 AT MARKET PLACE IN MURFREESBORO (L.M. 9.94).,0.217,MILES
CNN345,SHELBY,THE REMOVAL AND REPLACEMENT OF HOV SIGNS ON VARIOUS INTERSTATE ROUTES,0,MILES
CNN346,SHELBY,THE REMOVAL AND REPLACEMENT OF HOV MARKINGS ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNN284,SMITH,THE REPAIR OF THE BRIDGE ON S.R. 264 OVER HICKMAN CREEK (L.M. 2.88).,0,MILES
CNN001,SUMNER,THE INSTALLATION OF SIGNALS ON U.S. 31E (S.R. 6) AT THE INTERSECTION OF S.R. 25 IN GALLATIN (L.M. 14.11).,0.237,MILES
CNN332,SUMNER,REPAIR OF THE BRIDGE ON S.R. 25 OVER LIBERTY BRANCH (L.M. 10.89) USING STRUCTURAL STEEL WITH CAST-IN-PLACE CONCRETE DECK OR CONCRETE BOX BEAMS AND FULL-DEPTH CONCRETE DECK PANELS.,0,MILES
CNN310,TIPTON,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON MARSHALL ROAD OVER MYRON CREEK (L.M. 2.87), INCLUDING GRADING, DRAINAGE AND PAVING.",0.053,MILES
CNN701,ANDERSON AND CAMPBELL,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,43.21,MILES
CNN702,"ANDERSON, GRAINGER, AND UNION",THE MOWING ON VARIOUS STATE ROUTES.,248.26,MILES
CNN703,"BEDFORD, MARSHALL, MAURY, AND MOORE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,289.2,MILES
CNN705,"BENTON, CARROLL, HENRY, OBION, AND WEAKLEY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,701.13,MILES
CNN706,"BLEDSOE, GRUNDY, MARION, SEQUATCHIE, AND VAN BUREN",THE MOWING ON VARIOUS STATE ROUTES.,364.99,MILES
CNN707,BLOUNT AND KNOX,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,308.26,MILES
CNN708,"BLOUNT, LOUDON, MONROE, AND ROANE",THE MOWING ON VARIOUS STATE ROUTES.,586.89,MILES
CNN709,"BRADLEY, MCMINN, AND POLK",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,302.11,MILES
CNN710,"CAMPBELL, CLAIBORNE, MORGAN, AND SCOTT",THE MOWING ON VARIOUS STATE ROUTES.,307.78,MILES
CNN711,"CANNON, VAN BUREN, AND WARREN",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,240.27,MILES
CNN712,"CARTER, GREENE, HAMBLEN, JEFFERSON, SULLIVAN, UNICOI, AND WASHINGTON",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,115.09,MILES
CNN713,"CARTER, JOHNSON, SULLIVAN, UNICOI, AND WASHINGTON",THE MOWING ON VARIOUS STATE ROUTES.,439.34,MILES
CNN714,"CHEATHAM, MONTGOMERY, ROBERTSON, AND SUMNER",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,296.11,MILES
CNN715,"CHESTER, HARDEMAN, HARDIN, AND MCNAIRY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,547.42,MILES
CNN716,"CLAY, CUMBERLAND, FENTRESS, OVERTON, AND PICKETT",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,418.27,MILES
CNN717,"CLAY, DEKALB, JACKSON, OVERTON, PUTNAM, SMITH, AND WHITE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,502.39,MILES
CNN718,"COCKE, HAMBLEN, JEFFERSON, AND SEVIER",THE MOWING ON VARIOUS STATE ROUTES.,327.25,MILES
CNN719,COFFEE AND FRANKLIN,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,254.45,MILES
CNN720,"COFFEE, GRUNDY, HAMILTON, AND MARION",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,69.97,MILES
CNN721,"CROCKETT, DECATUR, HAYWOOD, HENDERSON, AND MADISON",THE MOWING AND LITTER REMOVAL ON VAROUS STATE ROUTES.,602.22,MILES
CNN722,DAVIDSON,THE MOWING ON VARIOUS STATE ROUTES.,197.08,MILES
CNN723,DAVIDSON AND WILLIAMSON,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,194.3,MILES
CNN724,"DICKSON, HICKMAN, AND HUMPHREYS",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,377.74,MILES
CNN725,"DYER, GIBSON, LAKE, AND OBION",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,581.35,MILES
CNN726,"FAYETTE, HAYWOOD, AND MADISON",THE SWATH MOWING AND LITTER REMOVAL ON I-40.,52.95,MILES
CNN727,"FAYETTE, LAUDERDALE, SHELBY, AND TIPTON",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,559.3,MILES
CNN728,GILES AND LAWRENCE,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,244.13,MILES
CNN729,"GILES, MARSHALL, AND MAURY",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,57.47,MILES
CNN730,"GREENE, HAMBLEN, HANCOCK, AND HAWKINS",THE MOWING ON VARIOUS STATE ROUTES.,455.68,MILES
CNN731,HAMILTON,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,69.48,MILES
CNN732,"HAMILTON, MEIGS, AND RHEA",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,186.48,MILES
CNN733,"HOUSTON, MONTGOMERY, AND STEWART",THE MOWING ON VARIOUS STATE ROUTES.,323.61,MILES
CNN734,"LAWRENCE, LEWIS, AND WAYNE",THE MOWING ON VARIOUS STATE ROUTES.,202.14,MILES
CNN735,"LEWIS, PERRY, AND WAYNE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,170.76,MILES
CNN736,"MACON, SMITH, AND TROUSDALE",THE MOWING ON VARIOUS STATE ROUTES.,249,MILES
CNN737,MAURY,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,208.88,MILES
CNN738,"RUTHERFORD, SUMNER, AND WILSON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,390.85,MILES
CNN739,RUTHERFORD AND WILLIAMSON,THE MOWING ON VARIOUS STATE ROUTES.,134.52,MILES
CNN740,WILLIAMSON,THE MOWING ON VARIOUS STATE ROUTES.,168.87,MILES
CNN941,POLK,"THE MISCELLANEOUS SAFETY IMPROVEMENTS INCLUDING RESURFACING ON U.S. 64 (S.R. 40) FROM EAST OF S.R. 314 TO WEST OF S.R. 30, AND FROM EAST OF ROCK CREEK TO EAST OF BRUSH CREEK.",6.52,MILES
CNN942,SMITH,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 25 AT THE INTERSECTION NEAR UPPER FERRY ROAD/MYERS STREET (L.M. 12.48 TO L.M. 13.04).,0.559,MILES
CNN940,SUMNER,"THE EXTENSION OF A CONCRETE BOX BRIDGE ON S.R. 109 (NORTH BROADWAY) AT JACKSON ROAD (L.M. 18.75), AND CONSTRUCTION OF A DRAINAGE DITCH ON S.R. 109 NEAR KIRBY DRIVE, IN PORTLAND.",0.132,MILES
