item_no,description,unit,count
775-02.44,REMOVE & REPLACE BRICK PAVEMENT,m2,3
725-23.17,FIBER OPTIC MICRO-CABLE (144 F),L.F.,3
725-23.32,FIBER OPTIC SPLICE MODIFICATION,EACH,3
714-08.45,FOUNDATION  FOR LIGHT STANDARDS - ROADWAY (DESCRIPTION),EACH,3
714-08.47,FOUNDATION (ONLY) FOR HIGH MAST LIGHT STANDARD,EACH,3
775-02.46,REMOVE & REPLACE ASPHALT CONCRETE CURB,m,3
791-01.20,8IN HIGH PRESSURE STEEL GAS MAIN,L.F.,3
791-01.21,8IN PWRCRETE COATED HP STL GAS MN- OPEN CUT,L.F.,3
790-74.50,FIBER TANGENT ASSEMBLY (DESCRIPTION),EACH,3
790-74.55,FIBER DOUBLE DEADEND ASSEMBLY (DESCRIPTION),EACH,3
775-02.31,50mm BLOW-OFF ASSEMBLY,EACH,3
775-02.32,FIRE HYDRANT ASSEMBLY,EACH,3
775-02.33,REMOVE FIRE HYDRANT,EACH,3
775-02.34,REMOVE BLOW-OFF ASSEMBLY,EACH,3
797-11.47,STREAM CROSSING (#),LS,3
797-11.48,STREAM CROSSING (#),LS,3
797-11.51,REMOVE SEPTIC SYSTEM,EACH,3
797-10.43,CONNECT 8IN GRAVITY TO PUMP STATION,EACH,3
775-02.35,DI FITTINGS,kg,3
775-02.36,CREEK CROSSING #7,LS,3
775-02.37,CREEK CROSSING #8,LS,3
775-02.38,CONCRETE ENCASEMENT,m,3
775-02.39,RESTORE ASPHALT,m2,3
775-02.40,RESTORE CONCRETE,m2,3
775-02.54,SEEDING (WITH MULCH),UNIT,3
775-02.55,300MM WATER LINE UNDER PAVEMENT,m,3
775-02.56,CONNECT TO 100MM WATER LINE,EACH,3
775-02.57,CONNECT TO 300MM WATER LINE,EACH,3
775-02.58,150MM FIRE CONNECTION,EACH,3
775-02.59,200MM FIRE CONNECTION,EACH,3
775-02.60,50MM HDPE SERVICE PIPE,m,3
775-02.61,100MM DUCTILE IRON SERVICE PIPE,m,3
775-02.62,20MM COPPER SERVICE PIPE,m,3
620-01.00,ALUMINUM RAILING (DESCRIPTION),L.F.,3
790-73.06,POLE GROUND & BUTT WRAP GROUND ASSEMBLY,EACH,3
790-71.71,LARGE ANGLE SINGLE POLE 161KV ASSEMBLY,EACH,3
790-71.75,VERTICAL DDE 69KV MAX,EACH,3
790-71.85,DOUBLE CIRCUIT SMALL ANGLE SUSPENSION INSULATOR 69KV MAX,EACH,3
790-72.19,ANGLE GUYING & DE POLE TIE ASSEMBLY,EACH,3
775-02.47,300mm STEEL CASING PIPE OPEN CUT METHOD,m,3
775-02.48,400mm STEEL CASING PIPE OPEN CUT METHOD,m,3
775-02.49,RECONNECT SERVICE ASSEMBLY,EACH,3
775-02.50,RETIRE WATER METER ASSEMBLIES,LS,3
795-08.31,WATER VALVE EXTENSION ROD,L.F.,3
795-08.41,CURB BOX,EACH,3
795-08.42,CELLULAR RTU SIGNAL CONTROL,EACH,3
725-22.86,4IN CONDUIT BORED,L.F.,3
797-10.34,REMOVE EXISTING PUMP STATION,LS,3
797-10.35,REMOVE EXISTING PUMP STATION #2,LS,3
790-71.35,DBL CKT SGL ARM W/ SUSP INS 69KV MAX,EACH,3
775-02.63,RESTRAINED JOINT GASKET FOR 200MM PIPE,EACH,3
775-02.64,RESTRAINED JOINT GASKET FOR 300MM PIPE,EACH,3
775-02.65,100MM STEEL CASING PIPE OPEN CUT METHOD,m,3
775-60.01,18IN BALL AND SOCKET RESTRAINED DUCTILE IRON PIPE,L.F.,3
775-60.02,12IN BALL AND SOCKET RESTRAINED DUCTILE IRON PIPE,L.F.,3
725-22.85,4IN CONDUIT BORED W/BANK,L.F.,3
714-12.30,REMOVAL OF EXISTING CONTROL CENTER (DESCRIPTION),EACH,3
797-09.53,6IN PLUG VALVE W/CHECK VALVE ASSEMBLY,EACH,3
607-65.19,SITE PREPARATION,LS,3
714-09.15,LUMINAIRES (DESCRIPTION),EACH,3
775-02.51,RETIRE EXISTING MAINS,LS,3
775-02.52,"RETIRE WATER, AIR, & BLOWOFF VALVE ASSY",EACH,3
775-02.53,FLOWABLE FILL,m3,3
802-13.21,VACCINIUM ARBOREUM (FARKLEBERRY 2-5FT C.G.),EACH,3
617-03.00,BRIDGE DECK CRACK SEALING,GAL.,3
777-02.27,MANHOLE DROP CONNECTION ASSEMBLY,EACH,3
777-02.28,1.219M DROP MANHOLE 3.658M-4.267M DEPTH,EACH,3
777-02.29,150mm PVC PIPE FOR SERVICE LATERAL,m,3
777-02.01,250mm PVC FORCE MAIN,m,3
777-02.02,200mm DIP GRVTY SWR 0M-1.829M DEPTH,m,3
777-02.03,200mm DIP GRVTY SWR 1.829M-2.438M DEPTH,m,3
714-14.02,MASTARM - 6,EACH,3
714-14.06,MASTARM (DESCRIPTION),EACH,3
725-22.26,CONDUIT BANK (MICRO-CONDUIT),L.F.,3
725-21.26,DYNAMIC MESSAGE SIGN (OVER SHOULDER DMS),EACH,3
725-21.47,DEMARCATION POINT CUTOVER,EACH,3
606-02.31,WOOD LAGGING,m2,3
725-22.36,CONDUIT BANK BORED (MICRO-CONDUIT),L.F.,3
411-02.14,ACS MIX(PG70-22) GRADING D VIRGIN MIX,TON,3
777-02.11,FLOWABLE FILL,m3,3
790-69.42,EXTENSION LINK - EPOXY -10FT,EACH,3
795-09.36,TI OF 4IN HDPE CASING FOR SERVICE PIPE-ROCK,L.F.,3
411-02.15,ACS MIX(PG70-22) GRADING D LIMESTONE AGGREGATE,TON,3
620-12.00,STRUCTURAL TUBING,L.F.,3
621-03.13,TEMPORARY DRAINAGE PIPE ARCH (DESCRIPTION),L.F.,3
620-10.00,CONCRETE PARAPET WITH PEDESTRIAN RAILING,L.F.,3
802-13.74,VIBURNUM NUDUM (POSSUMHAW VIBURNUM SDLING B.R.),EACH,3
622-02.01,STEEL MESH & PLATES,S.F.,3
777-02.04,200mm DIP GRVTY SWR 2.438M-3.048M DEPTH,m,3
777-02.05,200mm DIP GRVTY SWR 3.048M-3.658M DEPTH,m,3
777-02.06,200mm DIP GRVTY SWR 3.658M-4.267M DEPTH,m,3
777-02.07,200mm DIP GRVTY SWR 4.267M-4.877M DEPTH,m,3
777-02.08,200mm DIP GRVTY SWR 4.877M-5.486M DEPTH,m,3
777-02.09,200mm DIP GRVTY SWR 5.486M-6.096M DEPTH,m,3
777-02.10,200mm DIP GRVTY SWR >6.096M DEPTH,m,3
777-02.25,1200mm MANHOLE >5.486M DEPTH,EACH,3
777-02.26,INSERTION VALVE (250mm),EACH,3
777-02.13,BORE/JACK 500mm STEEL CASING PIPE-UNCON.,m,3
777-02.16,OPEN CUT 400mm STEEL CASING PIPE,m,3
777-02.17,1200mm MANHOLE 0M-1.219M DEPTH,EACH,3
777-02.18,1200mm MANHOLE 1.219M-1.829M DEPTH,EACH,3
777-02.19,1200mm MANHOLE 1.829M-2.438M DEPTH,EACH,3
777-02.20,1200mm MANHOLE 2.438M-3.048M DEPTH,EACH,3
777-02.21,1200mm MANHOLE 3.048M-3.658M DEPTH,EACH,3
777-02.22,1200mm MANHOLE 3.658M-4.267M DEPTH,EACH,3
777-02.23,1200mm MANHOLE 4.267M-4.877M DEPTH,EACH,3
777-02.24,1200mm MANHOLE 4.877M-5.486M DEPTH,EACH,3
777-02.44,CREEK CROSSING #2,LS,3
777-02.45,CREEK CROSSING #3,LS,3
795-10.07,3IN AUTOMATIC AIR RELEASE VALVE ASSEMBLY,EACH,3
795-11.06,RELOCATE FIRE PROTECTION METER,EACH,3
795-11.07,FIRE AND DOMESTIC APPARATUSES,EACH,3
725-20.07,CCTV POLE & FOUNDATION (80FT POLE W/DUAL LWRNG DVICE),EACH,3
790-64.06,SEC MTG 1PH 120/240 VOLTS FARM POLE,EACH,3
411-03.43,ACS MIX (PG64-22) THIN LIFT D ASPHALT LIMESTONE,TON,3
777-02.30,150mm CLEAN OUT ASSEMBLY,EACH,3
777-02.31,CONNECT SERVICE LINES (ALL SIZES),EACH,3
777-02.32,CONNECT EX. 200mm SEWER TO NEW MANHOLE,EACH,3
777-02.33,CONNECT TO 250mm FORCE MAIN,EACH,3
777-02.34,RETIREIN PLACE 1200mm MANHOLE,EACH,3
777-02.35,TV INSPECTION,m,3
777-02.36,RESTORE ASPHALT,m2,3
203-40.07,ANCHOR BLOCKS (DESCRIPTION),EACH,3
203-40.08,ANCHOR BLOCKS (DESCRIPTION),EACH,3
203-40.09,ANCHOR BLOCKS (DESCRIPTION),EACH,3
203-40.10,TIE-BACK ANCHORS (SOIL),m,3
203-40.11,TIE-BACK ANCHORS (ROCK),m,3
725-14.71,CONDUIT 4IN DIA PVC,L.F.,3
777-02.12,BORE/JACK 400mm STEEL CASING PIPE-UNCON.,m,3
795-13.17,CREEK CROSSING (DESCRIPTION),LS,3
203-08.50,SEDIMENT BASIN EXCAVATION (COMMON),C.Y.,3
795-13.18,CREEK CROSSING (DESCRIPTION),LS,3
725-16.01,"WEIGH IN MOTION (WIM), LOOP DETECTOR",EACH,3
725-16.02,"WEIGH IN MOTION (WIM) SYSTEM, 2 LANE",EACH,3
725-16.03,"WEIGH IN MOTION (WIM) SYSTEM, 3 LANE",EACH,3
725-16.04,"WEIGH IN MOTION (WIM) SYSTEM, 4 LANE",EACH,3
725-16.20,Wrong Way Driving Detection System,EACH,3
725-05.25,CHANGEABLE SPEED LIMIT SIGN (TYPE A),EACH,3
714-71.21,STEEL LIGHTING POLE 30FT,EACH,3
607-40.05,CORRUGATED METAL PIPE ARCH (SIZE EQUIV. 30 ROUND),L.F.,3
714-30.00,AS-BUILT PLANS,LS,3
790-61.07,2 - 1PH SECTLR OR RECL W/ BYPASS SW 25KV,EACH,3
790-62.06,1PH HYDR RECL 280A CONT 5000A INT 15KV,EACH,3
790-63.01,1PH HYDR RECL 100A CONT 2500A INT 25KV,EACH,3
790-63.16,3PH OVR-3SP ELECTRONIC RECLOSER 25KV,EACH,3
705-17.84,200 LB (PLASTIC DRUM W/SAND),EACH,3
705-17.85,400 LB (PLASTIC DRUM W/SAND),EACH,3
714-70.57,#4 AWG GROUND WIRE BARE SOLID COPPER,L.F.,3
795-13.19,CREEK CROSSING (DESCRIPTION),LS,3
795-13.20,CREEK CROSSING (DESCRIPTION),LS,3
725-03.16,CABINET TRANSFORMER (480V to 120/240V 10KVA),EACH,3
725-03.46,DEMARCATION POINT RISER ASSEMBLY,EACH,3
725-03.47,GROUND MOUNTED DEMARCATION POINT ASSEMBLY,EACH,3
795-13.09,CREEK CROSSING (DESCRIPTION),LS,3
795-13.10,CREEK CROSSING (DESCRIPTION),LS,3
795-13.11,CREEK CROSSING (DESCRIPTION),LS,3
795-13.12,CREEK CROSSING (DESCRIPTION),LS,3
795-13.13,CREEK CROSSING (DESCRIPTION),LS,3
795-13.14,CREEK CROSSING (DESCRIPTION),LS,3
795-13.15,CREEK CROSSING (DESCRIPTION),LS,3
795-13.16,CREEK CROSSING (DESCRIPTION),LS,3
797-08.60,2IN GATE VALVE ASSEMBLY,EACH,3
797-08.62,6IN GATE VALVE ASSEMBLY,EACH,3
797-08.67,16IN GATE VALVE ASSEMBLY,EACH,3
777-02.37,RESTORE CONCRETE,m2,3
777-02.38,RESTORE GRAVEL,m2,3
777-02.39,REMOVE & REPLACE ASP CONC DW,m2,3
777-02.40,REMOVE & REPLACE BRICK PAVEMENT,m2,3
777-02.41,REMOVE AND REPLACE CONCRETE CURB,m,3
777-02.42,REMOVE AND REPLACE ASPHALT CONCRETE CURB,m,3
777-02.43,CREEK CROSSING #1,LS,3
802-16.02,PHYSOCARPUS OPULIFOLIUS (NINEBARK 3FT LIVE STAKES),EACH,3
802-16.05,LINDERA BENZOIN (SPICEBUSH 3FT LIVE STAKES),EACH,3
802-16.06,VIBURNUM DENTATUM (ARROWWOOD VIBURNUM 3FT LIVE STAKES),EACH,3
802-32.02,COMUS AMOMUM (SILKY DOGWOOD) 18-24 IN LENGTH,EACH,3
802-50.99,PLANTING SOIL,C.Y.,3
625-02.41,DRILLED SHAFT (SCC) CONCRETE,C.Y.,3
777-02.48,SEEDING (WITH MULCH),UNIT,3
790-51.01,3PH PAD MTD XFORMER RADIAL FEED W/ELBOW,EACH,3
705-17.86,700 LB (PLASTIC DRUM W/SAND),EACH,3
705-17.87,1400 LB (PLASTIC DRUM W/SAND),EACH,3
777-02.49,OPEN CUT 20IN STEEL CASING PIPE,m,3
790-01.08,POLE 30FT CLASS 2 METAL,EACH,3
790-58.07,PAD MTD SWITCH DEAD FRNT 15KV,EACH,3
790-58.08,PAD MTD SWITCH DEAD FRNT 15KV,EACH,3
790-59.01,REGULATOR BYPASS SWITCH - SINGLE 25KV,EACH,3
790-60.10,3PH SECTLR OR RECL W/ BYPASS SW 15KV,EACH,3
790-07.03,POLE 60FT CLASS 3 WOOD,EACH,3
603-01.20,PAINTING STEEL CASING (DESCRIPTION),EACH,3
603-02.50,REPAINTING EXISTING ALUMINUM STRUCTURES (DESCRIPTION),LS,3
790-03.05,POLE 40FT CLASS 1 METAL,EACH,3
795-16.23,RELOCATE/RECONNECT 4IN WATER METER ASSM,EACH,3
797-08.12,2IN END OF LINE FLUSHING ASSEMBLY,EACH,3
795-16.60,PRIVATE WATER VAULT RECONNECTION,EACH,3
795-16.91,RELOCATE 3/4 IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH,3
795-16.92,RELOCATE 2IN REDUCED PRESSURE BACKFLOW PREVENTER W/NEW BOX,EACH,3
795-16.93,RELOCATE 3IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH,3
795-16.94,RELOCATE 4IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH,3
795-16.96,RELOCATE 6IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH,3
795-16.98,RELOCATE 8IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH,3
797-08.06,8IN PVC PIPE FOR SERVICE LATERAL,L.F.,3
607-50.06,PRECAST CONCRETE BOX CULVERT (12 X 8),L.F.,3
607-50.09,PRECAST CONCRETE BOX CULVERT (6 X 4),L.F.,3
716-01.99,ROUND RAISED PAVEMENT MARKER,EACH,3
607-38.02,450mm CORRUGATED METAL PIPE CULVERT (PRECOATED),m,3
790-03.07,POLE 40FT CLASS H1 METAL,EACH,3
790-53.02,25KVA 1PH PAD MT XFMR 7.2KV DUAL VOLTAGE,EACH,3
777-02.46,CREEK CROSSING #4,LS,3
777-02.47,CONCRETE ENCASEMENT,m,3
795-70.01,POLYETHYLENE PIPE PROTECT - 8,L.F.,3
790-08.02,POLE 65FT CLASS 3 WOOD,EACH,3
790-08.31,POLE 65FT CLASS H5 METAL,EACH,3
790-09.13,POLE 70FT CLASS 1 METAL,EACH,3
790-10.02,POLE 75FT CLASS 2 WOOD,EACH,3
790-06.04,POLE 55FT CLASS 4 WOOD,EACH,3
630-01.06,CONCRETE BOLLARD/GUARD POST,EACH,3
630-11.09,ABANDON EXISTING SEPTIC TANK,LS,3
640-01.05,WEIGH-IN-MOTION AND STATIC SCALE SYSTEM,LS,3
640-01.25,INSPECTION PIT,LS,3
640-01.30,SMART ROADSIDE INSPECTION SYSTEM,LS,3
625-02.03,DRILLED SHAFT-SOIL (DIA.),V.F.,3
797-01.11,__IN DIP FORCE MAIN,L.F.,3
795-16.27,RELOCATE/RECONNECT 10IN WATER METER ASSEMBLY,EACH,3
795-16.30,RELOCATE/RECONNECT 3IN SERVICE ASSEMBLY,EACH,3
795-16.36,6IN BACKFLOW PREVENTER ASSEMBLY,EACH,3
790-13.09,POLE 90FT CLASS H6 METAL,EACH,3
680-01.15,"SALT BIN, ROOF ONLY (40 x 80)",LS,3
627-01.01,MOBILIZATION (PREFABRICATED VERTICAL DRAINS),LS,3
705-01.14,ROCK DRILLING FOR GUARDRAIL POST,EACH,3
790-14.08,POLE 95FT CLASS H5 METAL,EACH,3
790-17.01,POLE 110FT CLASS H4 METAL,EACH,3
790-18.01,POLE 115FT CLASS H4 METAL,EACH,3
790-11.16,POLE 80FT CLASS 1 METAL,EACH,3
790-43.55,2PH PRIMARY RISER W/ 3IN CONDUIT,EACH,3
602-10.63,BEARING DEVICE (DESCRIPTION),EACH,3
795-21.11,RETIRE IN PLACE EXISTING WATER LINE,L.F.,3
795-30.02,6IN HDPE CASING OPEN CUT,L.F.,3
795-30.04,10IN HDPE CASING OPEN CUT,L.F.,3
795-30.05,12IN HDPE CASING OPEN CUT,L.F.,3
795-30.09,1-1/2IN HDPE CASING OPEN CUT,L.F.,3
795-30.24,OPEN CUT 12IN PVC CASING PIPE,L.F.,3
716-02.01,PLASTIC PAVEMENT MARKING (100mm LINE),km,3
716-02.02,PLASTIC PAVEMENT MARKING (200mm BARRIER LINE),m,3
716-02.10,PLASTIC PAVEMENT MARKING (150mm LINE),km,3
702-02.00,CONCRETE GUTTER,C.Y.,3
790-43.19,LOADBREAK PARKING BUSHING 200A 25KV,EACH,3
790-43.25,FEED THRU LOAD BREAK INSERT 200A 25KV,EACH,3
680-01.06,"SALT BIN, ROOF ONLY (40 x 60-8)",EACH,3
680-01.09,"SALT BIN, ROOF ONLY (40 x 120)",LS,3
797-07.10,48IN MANHOLE 24FT-28FT DEPTH,EACH,3
797-07.11,48IN MANHOLE >28FT DEPTH,EACH,3
797-07.20,60IN MANHOLE 20FT-24FT DEPTH,EACH,3
797-07.29,72IN MANHOLE 14FT-16FT DEPTH,EACH,3
797-01.31,4IN DIP FORCE MAIN (SLIP JOINT),L.F.,3
797-02.62,18IN HDPE GRAVITY SEWER 6FT-12FT DEPTH,L.F.,3
602-10.71,STRUCTURAL STEEL WELD REPAIR,L.F.,3
790-43.30,SPLICE 600A 25KV,EACH,3
790-25.53,3PH COVERED AERIAL CABLE TO OPEN WIRE ASSEMBLY 15 kV,EACH,3
790-25.54,3PH COVERED AERIAL CABLE DISC SWITCH ASSEMBLY 15 kV,EACH,3
790-27.11,DBL CKT CROSSARM 3PH TAP 15KV,EACH,3
705-05.09,BOLT SIDE GUIDE,EACH,3
705-02.31,SINGLE GUARDRAIL (TYPE 2) (YEAR 1),L.F.,3
705-02.32,SINGLE GUARDRAIL (TYPE 2) (YEAR 2),L.F.,3
790-25.62,3PH FIBERGLASS DEADEND TRIPLE ARM 15kV,EACH,3
790-42.20,6 DUCT BANK @ 36IN-48IN DEPTH,L.F.,3
790-42.32,MH 2WAY MD MONOLITHIC PC DIRT E,EACH,3
790-24.13,2PH SGL CROSSARM TANGENT 25KV,EACH,3
790-26.09,3PH CROSSARM SGL ON ST POLE 25KV,EACH,3
602-04.05,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS,3
797-06.99,HDD 10IN HDPE CARRIER PIPE-ROCK,L.F.,3
203-02.04,BORROW EXCAVATION (SOLID ROCK),TON,3
721-01.01,BENCH,EACH,3
721-01.02,TRASH RECEPTACLE,EACH,3
716-05.64,RETRACING PAVEMENT MARKINGS - PAINTED(6 DOTTED LINE),L.F.,3
607-08.06,42 CONCRETE PIPE CULVERT (CLASS V) JACKED-IN-PLACE,L.F.,3
790-41.27,UG PRI COND 4/0 CU 15KV,L.F.,3
790-41.32,UG PRI COND 1000MCM CU 15KV,L.F.,3
602-10.17,STEEL PILING,L.F.,3
790-30.45,CONDUCTOR 1 #2 WP ACSR EL. SVC (CDR2 WACSR ESC),L.F.,3
790-31.01,SERVICE ASSEMBLY-HOUSE TYPE,EACH,3
790-40.78,OH COND 1033.5 AL AERIAL SPACER CABLE 15KV,L.F.,3
797-03.16,__IN PVC FORCE MAIN,L.F.,3
717-01.15,MOBILZATION (WATER WORK),LS,3
607-16.07,49X 32 HORIZONTAL OVAL CONCRETE PIPE CULVERT,L.F.,3
602-04.06,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS,3
602-04.98,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS,3
790-41.63,UG SEC COND QDLX ____ __ __,L.F.,3
790-42.06,4IN DIA GALVANIZED METAL PIPE,L.F.,3
790-25.52,3PH COVERED AERIAL CABLE GOLB ASSEMBLY 15 kV,EACH,3
790-36.21,SWITCH-900A-UNDERSLUNG (THREE PHASE),EACH,3
999-99.97,CM/GC RISK CONTINGENCY,DOLL,3
999-99.96,CM/GC FEE (% OF COST OF WORK),LS,3
940-01.01,LIGHTWEIGHT FILL (DESCRIPTION),C.Y.,3
797-05.73,24IN PVC GRAVITY SEWER 12FT-18FT DEPTH,L.F.,3
797-06.73,BORE/JACK 8IN STEEL CASING PIPE-ROCK.,L.F.,3
607-06.08,36 CONCRETE PIPE CULVERT CLASS V (JACKED-IN-PLACE),L.F.,3
797-05.62,12IN PVC GRAVITY SEWER >18FT DEPTH,L.F.,3
797-05.71,24IN PVC GRAVITY SEWER 0FT-6FT DEPTH,L.F.,3
797-05.72,24IN PVC GRAVITY SEWER 6FT-12FT DEPTH,L.F.,3
716-80.01,PROTECTIVE BOLLARDS,EACH,3
797-05.20,18IN DIP GRAVITY SEWER >18FT DEPTH,L.F.,3
705-11.15,GUARDRAIL TERMINAL TYPE 12 (POWDER COATED),EACH,3
790-32.31,DOUBLE OVERHEAD GUY HEAVY CONSTRUCTION - PREFORM,EACH,3
790-31.21,SERVICE CONDUCTOR 2/0 AL QPLEX,L.F.,3
790-30.24,SECONDARY CONDUCTOR 3/0 AL QPLEX,L.F.,3
793-13.23,3 DUCT FORMATION @ 48IN DEPTH,L.F.,3
793-13.47,16 DUCT FORMATION @ 36IN DEPTH,L.F.,3
793-13.63,6IN SPLIT STEEL (BSP),L.F.,3
793-13.67,14IN SPLIT STEEL (BSP),L.F.,3
713-14.01,EXTRUDED ALUMINUM PANEL SIGNS (ANODIZED),S.F.,3
797-06.01,HDD 2IN HDPE CARRIER PIPE-UNCON,L.F.,3
797-06.06,HDD 12IN HDPE CASING PIPE-UNCON,L.F.,3
716-10.40,REMV & REPLC LENS ON SNOWPLW RFLCTV MKR,EACH,3
606-30.01,PILE DRIVER NOISE SHROUDS,S.F.,3
607-02.04,15 CONCRETE PIPE CULVERT(CLASS V),L.F.,3
716-09.80,THERMOPLST PVMT MARK PROFILE LINE(6),L.M.,3
716-09.85,CONTRAST PAVEMENT MARKING 4,L.M.,3
716-09.97,CONTRAST PAVEMENT SHADOW MARKING 6,L.F.,3
716-09.98,CONTRAST PAVEMENT SHADOW MARKING 8,L.F.,3
797-06.60,BORE/JACK 8IN STEEL CASING PIPE-UNCON.,L.F.,3
797-06.70,BORE/JACK 48IN STEEL CASING PIPE-UNCON.,L.F.,3
105-08.35,DESIGN-BUILD SAFETY MANAGEMENT,LS,2
790-40.32,OH COND 1590 45/7 ACSR LAPWING,L.F.,2
790-40.26,OH COND 954 45/7 ACSR RAIL,L.F.,2
790-31.09,SERVICE CONDUCTOR 6 AL TRIPLEX,L.F.,2
790-26.44,3PH ALLEY ARM 25KV,EACH,2
790-41.20,UG PRI COND 750MCM AL 25KV,L.F.,2
790-42.03,CONDUIT - ROLLED PLASTIC __IN DIA,L.F.,2
790-25.05,3PH DBL ALLEY ARM 15KV,EACH,2
790-25.61,3PH DBL CKT COVERED AERIAL CBL TANGENT BRACKET 15KV,EACH,2
790-25.60,3PH STACKED DBL CKT COVERED AERIAL CBL ANGLE ASSMBLY 15KV,EACH,2
790-25.59,3PH DBL CKT COVERED AERIAL CBL ANGLE ASSMBLY 15KV,EACH,2
790-25.58,3PH COVERED AERIAL CBL DE W/RISER ASSMBLY 15KV,EACH,2
790-25.57,3PH COVERED AERIAL CBL DE ANGLE ASSMBLY 15KV,EACH,2
606-28.14,MICROPILE (10 3/4 x .545 MICROPILE),L.F.,2
606-28.12,MICROPILE (9 5/8 x .500 MICROPILE),L.F.,2
930-01.02,PDA RE-STRIKE,EACH,2
930-01.01,PDA TESTING,EACH,2
925-50.12,STEEL H-PILES,L.F.,2
680-01.10,SALT BIN (40 X 40 ROOF ONLY),EACH,2
602-10.49,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,2
602-10.48,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,2
701-01.20,BRICK SIDEWALK,S.Y.,2
805-12.07,HYDR APPL EROSION CONTROL BLANKET,S.Y.,2
805-05.51,"NAILS, SELF DRILLING SOIL, UP TO 40 FT. (HORIZONTAL)",L.F.,2
701-01.04,CAST-IN-PLACE TACTILE WARNING SYSTEM,EACH,2
680-01.12,SALT BIN (DESCRIPTION),EACH,2
790-20.54,7 FT. DIA DRILLED PIER FOUNDATION,V.F.,2
411-12.10,SHOULDER MUMBLE STRIP (NON-CONTINUOUS) (8IN WIDTH),L.M.,2
797-05.32,__IN DIP GRAVITY SEWER >18FT DEPTH,L.F.,2
606-28.01,TEST PILES (7 5/8 S .500 MICROPILE),L.F.,2
716-09.83,CONTRAST PAVEMENT MARKING 6,L.F.,2
716-09.79,THERMOPLST PVMT MARK PROFILE LINE(4),L.M.,2
716-10.52,PRFRMED PLSTC PVMNT MRKNG (US SHLD),EACH,2
602-10.72,STRUCTURAL STEEL CRACK REPAIR (DESCRIPTION),EACH,2
602-10.66,BEARING DEVICE (DESCRIPTION),EACH,2
602-10.59,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,2
790-20.56,9 FT. DIA DRILLED PIER FOUNDATION,V.F.,2
790-20.55,8 FT. DIA DRILLED PIER FOUNDATION,V.F.,2
790-43.68,PRIMARY RISER (DESCRIPTION),EACH,2
630-10.02,ELECTRICAL WORK-INSTALLED COMPLETE,LS,2
630-01.15,6 PVC (SCHEDULE 40) PIPE,L.F.,2
805-05.50,"NAILS, SELF DRILLING SOIL, UP TO 40 FT. (VERTICAL)",L.F.,2
202-01.11,REMOVAL AND DISPOSAL OF TRASH AND DEBRIS,TON,2
607-15.30,84 PIPE CULVERT,L.F.,2
607-37.15,96 CORRUGATED METAL PIPE CULVERT,L.F.,2
797-04.03,6IN FPVC FORCE MAIN,L.F.,2
718-01.19,NOISE BARRIER INSTALLATION (DESCRIPTION),LS,2
716-05.81,PERFORMANCE BASED RETRACING SPRAY THERMO 12IN DOTTED,L.F.,2
716-09.02,WET REFLEC. PVMT MARKING(8BARRIER LINE),L.F.,2
606-26.05,CORE DRILLING FOR PILES (ABANDONED),L.F.,2
602-10.90,AERIAL LIGHTS,LS,2
411-03.42,ACS MIX(PG64-22) THIN LIFT D ASPHALT HYDRATED LIME,TON,2
411-03.29,ACS MIX (PG64-22) OGFC GRADING E SHOULDER,TON,2
411-03.27,ACS MIX(PG76-22) THIN LIFT E ASPHALT,TON,2
790-60.04,2 - 1PH SECTIONALIZERS OR RECLOSERS 15KV,EACH,2
625-02.30,DRILLED SHAFT CASING-PERMANENT (DIA.),V.F.,2
802-70.99,PLANTING BED (WILDFLOWER AND PRAIRIE GRASS SEED MIX),S.F.,2
802-60.99,"PLANTING BED (TREES, SHRUBS, PERENNIALS)",S.F.,2
411-05.02,BMD ACS MIX (BALANCED MIX DESIGN),TON,2
797-07.28,72IN MANHOLE 12FT-14FT DEPTH,EACH,2
797-07.26,72IN MANHOLE 8FT-10FT DEPTH,EACH,2
716-02.31,RETRACING PAVEMENT MARKINGS - PLASTIC (8 BARRIER LINE),L.F.,2
721-01.12,1 QUICK COUPLER VALVE (RAIN BIRD 44LRC),EACH,2
721-01.08,1-1/2 CONTROL VALVE (RAIN BIRD PEB-150),EACH,2
721-01.07,1 CONTROL VALVE (RAIN BIRD PEB-100),EACH,2
721-01.33,IRRIGATION MAINLINE (PVC CLASS 200 SDR 21 1),L.F.,2
721-01.30,IRRIGATION LATERAL LINE (PVC CLASS 200 SDR 21 2),L.F.,2
721-01.29,IRRIGATION LATERAL LINE (PVC CLASS 200 SDR 21 1-1/2),L.F.,2
721-01.28,IRRIGATION LATERAL LINE (PVC CLASS 200 SDR 21 1),L.F.,2
721-01.25,1-1/2 WATER METER,EACH,2
