item_no,description,unit
795-01.22,30IN DIP SLIP JOINT WATER LINE,L.F.
795-01.23,36IN DIP RESTRAINED JOINT WATER LINE,L.F.
795-01.24,36IN DIP SLIP JOINT WATER LINE,L.F.
795-01.25,2IN DIP SLIP JOINT WATER LINE,EACH
795-01.26,2IN DIP SLIP JOINT WATER LINE,L.F.
795-01.27,3IN DIP SLIP JOINT WATER LINE,L.F.
795-01.31,3IN DIP RESTRAINED JOINT WATER LINE,L.F.
795-01.47,10IN DIP TEMPORARY WATP BYPASS,LS
795-01.90,MASTER METER VAULT W/BYPASS,LS
795-01.99,12IN DIP SLIP JOINT W/GEOTECH FABRIC STONE,L.F.
795-02.01,2IN HDPE WATER LINE,L.F.
795-02.02,3IN HDPE WATER LINE,L.F.
795-02.03,4IN HDPE WATER LINE,L.F.
795-02.04,6IN HDPE WATER LINE,L.F.
795-02.05,8IN HDPE WATER LINE,L.F.
795-02.07,12IN HDPE WATER LINE,L.F.
795-02.08,14IN HDPE WATER LINE,L.F.
795-02.34,8IN HDPE WATER LINE (HDD),L.F.
795-02.35,10IN HDPE WATER LINE (HDD),L.F.
795-03.01,1-1/2IN PVC WATER LINE,L.F.
795-03.02,2IN PVC WATER LINE,L.F.
795-03.03,3IN PVC WATER LINE,L.F.
795-03.04,4IN PVC WATER LINE,L.F.
795-03.05,6IN PVC WATER LINE,L.F.
795-03.06,8IN PVC WATER LINE,L.F.
795-03.07,10IN PVC WATER LINE,L.F.
795-03.08,12IN PVC WATER LINE,L.F.
795-03.10,16IN PVC WATER LINE,L.F.
795-03.11,18IN PVC WATER LINE,L.F.
795-03.34,6IN C900 PVC WATER LINE,L.F.
795-03.35,8IN C900 PVC WATER LINE,L.F.
795-03.36,10IN C900 PVC WATER LINE,L.F.
795-03.37,12IN C900 PVC WATER LINE,L.F.
795-03.52,8IN C900 PVC RESTRAINED JOINT WATER LINE,L.F.
795-05.01,HDD 2IN HDPE CARRIER PIPE-UNCON,L.F.
795-05.02,HDD 4IN HDPE CASING PIPE-UNCON,L.F.
795-05.03,HDD 6IN HDPE CASING PIPE-UNCON,L.F.
795-05.04,HDD 8IN HDPE CASING PIPE-UNCON,L.F.
795-05.05,HDD 10IN HDPE CASING PIPE-UNCON,L.F.
795-05.06,HDD 12IN HDPE CASING PIPE-UNCON,L.F.
795-05.08,HDD 16IN HDPE CASING PIPE-UNCON,L.F.
795-05.10,HDD 20IN HDPE CASING PIPE-UNCON,L.F.
795-05.12,HDD 30IN HDPE CASING PIPE-UNCON,L.F.
795-05.13,HDD 36IN HDPE CASING PIPE-UNCON,L.F.
795-05.14,HDD __IN HDPE CASING PIPE-UNCON,L.F.
795-05.15,HDD 2IN HDPE CARRIER PIPE-ROCK,L.F.
795-05.16,HDD 4IN HDPE CASING PIPE-ROCK,L.F.
795-05.17,HDD 6IN HDPE CASING PIPE-ROCK,L.F.
795-05.18,HDD 8IN HDPE CASING PIPE-ROCK,L.F.
795-05.19,HDD 10IN HDPE CASING PIPE-ROCK,L.F.
795-05.22,HDD 16IN HDPE CASING PIPE-ROCK,L.F.
795-05.23,HDD 18IN HDPE CASING PIPE-ROCK,L.F.
795-05.24,HDD 20IN HDPE CASING PIPE-ROCK,L.F.
795-05.28,HDD __IN HDPE CASING PIPE-ROCK,L.F.
795-05.60,BORE/JACK 6IN STEEL CASING PIPE-UNCON.,L.F.
795-05.61,BORE/JACK 8IN STEEL CASING PIPE-UNCON.,L.F.
795-05.62,BORE/JACK 10IN STEEL CASING PIPE-UNCON.,L.F.
795-05.63,BORE/JACK 12IN STEEL CASING PIPE-UNCON.,L.F.
795-05.64,BORE/JACK 14IN STEEL CASING PIPE-UNCON.,L.F.
795-05.65,BORE/JACK 16IN STEEL CASING PIPE-UNCON.,L.F.
795-05.66,BORE/JACK 18IN STEEL CASING PIPE-UNCON.,L.F.
795-05.67,BORE/JACK 20IN STEEL CASING PIPE-UNCON.,L.F.
795-05.68,BORE/JACK 24IN STEEL CASING PIPE-UNCON.,L.F.
795-05.69,BORE/JACK 30IN STEEL CASING PIPE-UNCON.,L.F.
795-05.70,BORE/JACK 36IN STEEL CASING PIPE-UNCON.,L.F.
795-05.71,BORE/JACK __IN STEEL CASING PIPE-UNCON,L.F.
795-05.72,BORE/JACK __IN STEEL CASING PIPE-UNCON,L.F.
795-05.74,BORE/JACK 6IN STEEL CASING PIPE-ROCK.,L.F.
795-05.75,BORE/JACK 8IN STEEL CASING PIPE-ROCK.,L.F.
795-05.76,BORE/JACK 10IN STEEL CASING PIPE-ROCK.,L.F.
795-05.77,BORE/JACK 12IN STEEL CASING PIPE-ROCK.,L.F.
795-05.78,BORE/JACK 14IN STEEL CASING PIPE-ROCK.,L.F.
795-05.79,BORE/JACK 16IN STEEL CASING PIPE-ROCK.,L.F.
795-05.80,BORE/JACK 18IN STEEL CASING PIPE-ROCK.,L.F.
795-05.81,BORE/JACK 20IN STEEL CASING PIPE-ROCK.,L.F.
795-05.82,BORE/JACK 24IN STEEL CASING PIPE-ROCK.,L.F.
795-05.83,BORE/JACK 30IN STEEL CASING PIPE-ROCK.,L.F.
795-05.90,HDD 6IN HDPE CARRIER PIPE-UNCON,L.F.
795-05.91,2IN PVC CASING PIPE OPEN CUT,L.F.
795-05.92,4IN PVC CASING PIPE OPEN CUT,L.F.
795-05.99,FLOWABLE FILL (TRENCH PLUGS),C.Y.
795-06.01,CONNECT TO 2IN WATER LINE,EACH
795-06.02,CONNECT TO 3IN WATER LINE,EACH
795-06.03,CONNECT TO 4IN WATER LINE,EACH
795-06.04,CONNECT TO 6IN WATER LINE,EACH
795-06.05,CONNECT TO 8IN WATER LINE,EACH
795-06.06,CONNECT TO 10IN WATER LINE,EACH
795-06.07,CONNECT TO 12IN WATER LINE,EACH
795-06.08,CONNECT TO 14IN WATER LINE,EACH
795-06.09,CONNECT TO 16IN WATER LINE,EACH
795-06.10,CONNECT TO 18IN WATER LINE,EACH
795-06.11,CONNECT TO 20IN WATER LINE,EACH
795-06.12,CONNECT TO 24IN WATER LINE,EACH
795-06.13,CONNECT TO 30IN WATER LINE,EACH
795-06.14,CONNECT TO 36IN WATER LINE,EACH
795-06.15,CONNECT TO 3/4IN WATER LINE,EACH
795-06.23,"TIE TO 3IN MAIN, INCL. VALVE & FITTINGS",EACH
795-06.25,TIE TO 6IN MAIN INCL VALVE & FITTINGS,EACH
795-06.30,CUT/CAP EXISTING LINES (ALL SIZES),EACH
795-06.31,CUT AND CAP 2IN WATER LINE,EACH
795-06.32,CUT AND CAP 4IN WATER LINE,EACH
795-06.33,CUT AND CAP 6IN WATER LINE,EACH
795-06.34,CUT AND CAP 8IN WATER LINE,EACH
795-06.35,CUT AND CAP SERVICE LINE,EACH
795-06.36,CUT & CAP 10IN WATER LINE,EACH
795-06.37,CUT AND CAP 12IN WATER LINE,EACH
795-06.38,CUT AND CAP 14IN WATER LINE,EACH
795-06.39,CUT AND CAP 16IN WATER LINE,EACH
795-06.40,CUT AND CAP 3IN WATER LINE,EACH
795-06.41,CONNECT TO 2 1/2 IN WATER LINE,EACH
795-06.42,CUT AND CAP 20IN WATER LINE,EACH
795-06.43,CUT AND CAP 24IN WATER LINE,EACH
795-06.44,CUT AND CAP 30IN WATER LINE,EACH
795-06.61,HDD 2IN PVC CARRIER PIPE,EACH
795-07.01,4IN X 4IN TAPPING SLEEVE AND VALVE,EACH
795-07.02,6IN X 4IN TAPPING SLEEVE AND VALVE,EACH
795-07.03,6IN X 6IN TAPPING SLEEVE AND VALVE,EACH
795-07.04,8IN X 4IN TAPPING SLEEVE AND VALVE,EACH
795-07.05,8IN X 6IN TAPPING SLEEVE AND VALVE,EACH
795-07.06,8IN X 8IN TAPPING SLEEVE AND VALVE,EACH
795-07.07,10IN X 4IN TAPPING SLEEVE AND VALVE,EACH
795-07.08,10IN X 6IN TAPPING SLEEVE AND VALVE,EACH
795-07.09,10IN X 8IN TAPPING SLEEVE AND VALVE,EACH
795-07.10,10IN X 10IN TAPPING SLEEVE AND VALVE,EACH
795-07.11,12IN X 4IN TAPPING SLEEVE AND VALVE,EACH
795-07.12,12IN X 6IN TAPPING SLEEVE AND VALVE,EACH
795-07.13,12IN X 8IN TAPPING SLEEVE AND VALVE,EACH
795-07.14,12IN X 10IN TAPPING SLEEVE AND VALVE,EACH
795-07.15,12IN X 12IN TAPPING SLEEVE AND VALVE,EACH
795-07.17,16IN X 6IN TAPPING SLEEVE AND VALVE,EACH
795-07.18,16IN X 8IN TAPPING SLEEVE AND VALVE,EACH
795-07.19,16IN X 10IN TAPPING SLEEVE AND VALVE,EACH
795-07.20,16IN X 12IN TAPPING SLEEVE AND VALVE,EACH
795-07.21,16IN X 16IN TAPPING SLEEVE AND VALVE,EACH
795-07.22,14IN X 6IN TAPPING SLEEVE AND VALVE,EACH
795-07.23,18IN X 12IN TAPPING SLEEVE AND VALVE,EACH
795-07.27,20IN X 20IN TAPPING SLEEVE AND VALVE,EACH
795-07.29,24IN X 24IN TAPPING SLEEVE AND VALVE,EACH
795-07.30,INSERTION VALVE (4IN),EACH
795-07.31,INSERTION VALVE (6IN),EACH
795-07.32,INSERTION VALVE (8IN),EACH
795-07.33,INSERTION VALVE (10IN),EACH
795-07.34,INSERTION VALVE (12IN),EACH
795-07.35,2IN X 2IN TAPPING SADDLE AND VALVE,EACH
795-07.38,INSERTION VALVE (14IN),EACH
795-07.51,FLOW METER,EACH
795-07.61,__IN X __IN TAPPING SLEEVE AND VALVE,EACH
795-07.62,__IN X __IN TAPPING SLEEVE AND VALVE,EACH
795-07.63,__IN X __IN TAPPING SLEEVE AND VALVE,EACH
795-08.01,2IN GATE VALVE ASSEMBLY,EACH
795-08.02,3IN GATE VALVE ASSEMBLY,EACH
795-08.03,4IN GATE VALVE ASSEMBLY,EACH
795-08.04,6IN GATE VALVE ASSEMBLY,EACH
795-08.05,8IN GATE VALVE ASSEMBLY,EACH
795-08.06,10IN GATE VALVE ASSEMBLY,EACH
795-08.08,12IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.09,12IN GATE VALVE ASSEMBLY,EACH
795-08.12,14IN GATE VALVE ASSEMBLY,EACH
795-08.13,16IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.14,16IN GATE VALVE ASSEMBLY,EACH
795-08.15,18IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.16,18IN GATE VALVE ASSEMBLY,EACH
795-08.17,20IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.18,20IN GATE VALVE ASSEMBLY,EACH
795-08.19,24IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.20,24IN GATE VALVE ASSEMBLY,EACH
795-08.21,30IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.22,36IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.23,__ IN BUTTERFLY VALVE ASSEMBLY,EACH
795-08.24,__ IN GATE VALVE ASSEMBLY,EACH
795-08.25,ELECTRONIC CONTROL VALVE VAULT W/BYPASS,EACH
795-08.26,12IN CHECK VALVE ASSEMBLY,EACH
795-08.27,4IN CHECK VALVE,EACH
795-08.28,6IN CHECK VALVE,EACH
795-08.31,WATER VALVE EXTENSION ROD,L.F.
795-08.41,CURB BOX,EACH
795-08.42,CELLULAR RTU SIGNAL CONTROL,EACH
795-09.01,3/4IN WATER SERVICE METER ASSEMBLY,EACH
795-09.02,1IN WATER SERVICE METER ASSEMBLY,EACH
795-09.03,1-1/2IN WATER SERVICE METER ASSEMBLY,EACH
795-09.04,2IN WATER SERVICE METER ASSEMBLY,EACH
795-09.05,3IN WATER SERVICE METER ASSEMBLY,EACH
795-09.06,4IN WATER SERVICE METER ASSEMBLY,EACH
795-09.07,6IN WATER SERVICE METER ASSEMBLY,EACH
795-09.08,8IN WATER SERVICE METER ASSEMBLY,EACH
795-09.09,RELOCATE/RECONNECT SERVICE ASSEMBLY,EACH
795-09.10,SAMPLE TAP,EACH
795-09.11,1-1/2IN COPPER SERVICE PIPE,L.F.
795-09.12,2IN COPPER SERVICE PIPE,L.F.
795-09.13,3IN COPPER SERVICE PIPE,L.F.
795-09.14,3/4IN HDPE SERVICE PIPE,L.F.
795-09.15,1IN HDPE SERVICE PIPE,L.F.
795-09.16,1-1/2IN HDPE SERVICE PIPE,L.F.
795-09.17,2IN HDPE SERVICE PIPE,L.F.
795-09.18,3IN HDPE SERVICE PIPE,L.F.
795-09.19,3/4IN PVC SERVICE PIPE,L.F.
795-09.20,1IN PVC SERVICE PIPE,L.F.
795-09.21,1-1/2IN PVC SERVICE PIPE,L.F.
795-09.22,2IN PVC SERVICE PIPE,L.F.
795-09.24,TI OF 2IN HDPE CASING FOR SERVICE PIPE-UNCON,L.F.
795-09.25,TI OF 2IN HDPE CASING FOR SERVICE PIPE-ROCK,L.F.
795-09.26,TI OF 2IN PVC CASING FOR SERVICE PIPE-UNCON,L.F.
795-09.27,TI OF 2IN PVC CASING FOR SERVICE PIPE-ROCK,L.F.
795-09.28,3/4IN COPPER SERVICE PIPE,L.F.
795-09.29,1IN COPPER SERVICE PIPE,L.F.
795-09.30,3/4IN PEXa SERVICE PIPE IN 2 PEXa CASING,L.F.
795-09.31,2IN TYPE K COPPER WATER LINE,L.F.
795-09.35,(TI) OF 3IN PVC CASING FOR SERVICE PIPE-UNCON,L.F.
795-09.36,TI OF 4IN HDPE CASING FOR SERVICE PIPE-ROCK,L.F.
795-09.37,3/4IN SERVICE PIPE,L.F.
795-09.38,1N SERVICE PIPE,L.F.
795-09.39,2N SERVICE PIPE,L.F.
795-09.41,HDD 3/4IN COPPER SERVICE PIPE,L.F.
795-09.42,HDD 1-1/2IN COPPER SERVICE PIPE,L.F.
795-09.43,HDD 2IN COPPER SERVICE PIPE,L.F.
795-09.44,HDD 2IN COPPER CARRIER PIPE-UNCON,L.F.
795-09.51,RECONNECT SERVICE ASSEMBLY,EACH
795-09.55,HDD 3IN HDPE CASING PIPE- ROCK,L.F.
795-09.60,3/4IN PEXa SERVICE PIPE,L.F.
795-09.61,3/4IN PEXa SERVICE PIPE IN 2IN STEEL CASING,L.F.
795-09.62,1IN PEX SERVICE PIPE,L.F.
795-09.63,1 1/4 IN PEXa SERVICE PIPE,L.F.
795-09.64,2IN PEXa SERVICE PIPE,L.F.
795-09.70,5/8IN WATER SERVICE METER ASSEMBLY,EACH
795-09.75,5/8IN COPPER SERVICE PIPE,L.F.
795-09.80,4IN CASING PIPE,L.F.
795-09.99,2IN BRASS SERVICE PIPE,L.F.
795-10.01,3/4IN AUTO AIR RELEASE VALVE ASSEMBLY,EACH
795-10.03,1IN AUTO AIR RELEASE VALVE ASSEMBLY,EACH
795-10.04,1IN MANUAL AIR RELEASE VALVE ASSEMBLY,EACH
795-10.05,2IN AUTO AIR RELEASE VALVE ASSEMBLY,EACH
795-10.06,2IN MANUAL AIR RELEASE VALVE ASSEMBLY,EACH
795-10.07,3IN AUTOMATIC AIR RELEASE VALVE ASSEMBLY,EACH
795-10.09,4IN AUTO AIR RELEASE VALVE ASSEMBLY,EACH
795-10.20,2IN PRV ASSEMBLY,EACH
795-10.21,4IN PRV ASSEMBLY,EACH
795-10.23,8IN PRV ASSEMBLY,EACH
795-10.24,12IN PRV ASSEMBLY,EACH
795-10.25,3/4IN PRV ASSEMBLY,EACH
795-10.31,2IN BLOW-OFF ASSEMBLY,EACH
795-11.01,BLOW-OFF ASSEMBLY,EACH
795-11.02,FIRE HYDRANT ASSEMBLY,EACH
795-11.03,RECONNECT FIRE HYDRANT,EACH
795-11.04,RELOCATE FIRE HYDRANT,EACH
795-11.06,RELOCATE FIRE PROTECTION METER,EACH
795-11.07,FIRE AND DOMESTIC APPARATUSES,EACH
795-11.10,FIRE HYDRANT RISER,V.F.
795-11.12,RETIRE IN PLACE EXISTING WATER MAIN,L.F.
795-11.40,RESTORE ASPHALT,S.Y.
795-11.41,RESTORE CONCRETE,S.Y.
795-11.42,RESTORE GRAVEL,S.Y.
795-12.01,REMOVE FIRE HYDRANT,EACH
795-12.02,REMOVAL OF EXISTING LINE,LS
795-12.03,PIPE GROUTING,LS
795-12.04,REMOVE EX BACKFLOW APPARATUS,LS
795-12.05,REMOVE BLOW-OFF ASSEMBLY,EACH
795-12.06,REMOVE EXISTING PRV ASSEMBLY,EACH
795-12.07,REMOVE EXISITNG VALVE,EACH
795-12.08,REMOVE WATER METER,EACH
795-12.10,ASBESTOS REMOVAL,LS
795-12.11,ASBESTOS REMOVAL,L.F.
795-12.20,ADJUST EXISTING VALVE BOXES,EACH
795-12.26,REMOVE 6IN METER ASSEMBLY,EACH
795-12.30,REMOVAL OF PIPE (EXISTING WATER MAIN),L.F.
795-12.31,BACKFILL MATERIAL (FLOWABLE FILL),C.Y.
795-12.32,REMOVE GATE VALVE,EACH
795-12.40,Locator Wire Pull Box-Concrete box w/cast iron frame & lid,EACH
795-13.01,DI FITTINGS,LB.
795-13.02,HDPE FITTINGS,LB.
795-13.03,PVC FITTINGS,LB.
795-13.04,BRIDGE HANGER SYSTEM,LS
795-13.05,CREEK CROSSING (DESCRIPTION),LS
795-13.06,CREEK CROSSING (DESCRIPTION),LS
795-13.07,CREEK CROSSING (DESCRIPTION),LS
795-13.08,CREEK CROSSING (DESCRIPTION),LS
795-13.09,CREEK CROSSING (DESCRIPTION),LS
795-13.10,CREEK CROSSING (DESCRIPTION),LS
795-13.11,CREEK CROSSING (DESCRIPTION),LS
795-13.12,CREEK CROSSING (DESCRIPTION),LS
795-13.13,CREEK CROSSING (DESCRIPTION),LS
795-13.14,CREEK CROSSING (DESCRIPTION),LS
795-13.15,CREEK CROSSING (DESCRIPTION),LS
795-13.16,CREEK CROSSING (DESCRIPTION),LS
795-13.17,CREEK CROSSING (DESCRIPTION),LS
795-13.18,CREEK CROSSING (DESCRIPTION),LS
795-13.19,CREEK CROSSING (DESCRIPTION),LS
795-13.20,CREEK CROSSING (DESCRIPTION),LS
795-13.22,BRIDGE HANGER SYSTEM SUPPORTS,LS
795-14.01,CLASS A CONCRETE,C.Y.
795-14.02,CLASS B CONCRETE,C.Y.
795-14.03,CLASS C CONCRETE,C.Y.
795-14.05,CONCRETE ENCASEMENT,L.F.
795-14.06,CONCRETE PIERS,EACH
795-14.07,CONCRETE VAULT,EACH
795-14.08,RESTORE ASPHALT,S.Y.
795-14.09,RESTORE CONCRETE,S.Y.
795-14.10,RESTORE GRAVEL,S.Y.
795-14.15,SUPPORT STRUCTURE FOR UNSTABLE SUBGRADE,LS
795-15.01,8IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.02,12IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.03,14IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.04,18IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.05,20IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.06,22IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.07,24IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.08,26IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.09,28IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.10,30IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.11,36IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.12,42IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.13,48IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.14,54IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.22,6IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.24,10IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.25,16IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.26,32IN STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-15.51,42IN SPLIT STEEL CASING PIPE OPEN CUT METHOD,L.F.
795-16.02,PRESSURE TRANSDUCER AND METER STATION,EACH
795-16.10,RELOCATE/RECONNECT CHECK VALVE PIT,EACH
795-16.14,RELOCATE WATER PUMPING STATION FACILITIES,EACH
795-16.15,RELOCATE/RECONNECT BACKFLOW ASSEMBLY,EACH
795-16.16,RELOCATE/RECONNECT 3/4IN WATER METER ASSEMBLY,EACH
795-16.17,RELOCATE/RECONNECT 1IN WATER METER ASSEMBLY,EACH
795-16.21,RELOCATE/RECONNECT 2IN WATER METER ASSEMBLY,EACH
795-16.23,RELOCATE/RECONNECT 4IN WATER METER ASSM,EACH
795-16.25,RELOCATE/RECONNECT 6IN WATER METER ASSEMBLY,EACH
795-16.27,RELOCATE/RECONNECT 10IN WATER METER ASSEMBLY,EACH
795-16.30,RELOCATE/RECONNECT 3IN SERVICE ASSEMBLY,EACH
795-16.36,6IN BACKFLOW PREVENTER ASSEMBLY,EACH
795-16.40,6IN EXISTING WATER MAIN TERMINATION,EACH
795-16.41,12IN EXISTING WATER MAIN TERMINATION,EACH
795-16.42,24IN EXISTING WATER MAIN TERMINATION,EACH
795-16.46,6IN NEW WATER MAIN TERMINATION,EACH
795-16.47,12IN NEW WATER MAIN TERMINATION,EACH
795-16.60,PRIVATE WATER VAULT RECONNECTION,EACH
795-16.91,RELOCATE 3/4 IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH
795-16.92,RELOCATE 2IN REDUCED PRESSURE BACKFLOW PREVENTER W/NEW BOX,EACH
795-16.93,RELOCATE 3IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH
795-16.94,RELOCATE 4IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH
795-16.96,RELOCATE 6IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH
795-16.98,RELOCATE 8IN DOUBLE DET CHECK VALVE W/NEW BOX,EACH
795-16.99,RELOCATE METER MANHOLE TELEMETRY & EQUIP,LS
795-20.01,RECONNECT SERVICE ASSEMBLY,EACH
795-21.01,RETIRE WATER METER ASSEMBLIES,LS
795-21.02,RETIRE WATER VALVES AND HYDRANTS,LS
795-21.03,TRENCHLESS INSTALL 3IN HDPE CASING -UNCON,L.F.
795-21.04,TRENCHLESS INSTALL 3IN HDPE CASING - ROCK,L.F.
795-21.11,RETIRE IN PLACE EXISTING WATER LINE,L.F.
795-25.01,REMOVE WATER MAIN FROM BRIDGE,LS
795-30.02,6IN HDPE CASING OPEN CUT,L.F.
795-30.04,10IN HDPE CASING OPEN CUT,L.F.
795-30.05,12IN HDPE CASING OPEN CUT,L.F.
795-30.08,2IN HDPE CASING OPEN CUT,L.F.
795-30.09,1-1/2IN HDPE CASING OPEN CUT,L.F.
795-30.24,OPEN CUT 12IN PVC CASING PIPE,L.F.
795-30.25,OPEN CUT 16IN PVC CASING PIPE,L.F.
795-51.01,BOLLARD,EACH
795-70.01,POLYETHYLENE PIPE PROTECT - 8,L.F.
795-70.02,POLYETHYLENE PIPE PROTECT - 12,L.F.
795-99.01,4FT X 4FT METER VAULT,EACH
795-99.02,4FT X 6FT METER VAULT,EACH
795-99.03,6FT X 6FT METER VAULT,EACH
797-01.01,4IN DIP FORCE MAIN,L.F.
797-01.02,6IN DIP FORCE MAIN,L.F.
797-01.03,8IN DIP FORCE MAIN,L.F.
797-01.05,12IN DIP FORCE MAIN,L.F.
797-01.07,16IN DIP FORCE MAIN,L.F.
797-01.08,20IN DIP FORCE MAIN,L.F.
797-01.11,__IN DIP FORCE MAIN,L.F.
797-01.13,6IN EPOXY COATED DIP FORCE MAIN,L.F.
797-01.14,8IN EPOXY COATED DIP FORCE MAIN,L.F.
797-01.15,10IN EPOXY COATED DIP FORCE MAIN,L.F.
797-01.16,12IN EPOXY COATED DIP FORCE MAIN,L.F.
797-01.18,16IN EPOXY COATED DIP FORCE MAIN,L.F.
797-01.20,24IN EPOXY COATED DIP FORCE MAIN,L.F.
797-01.31,4IN DIP FORCE MAIN (SLIP JOINT),L.F.
797-01.53,VENT PIPE ASSEMBLY,EACH
797-02.01,1IN HDPE FORCE MAIN,L.F.
797-02.02,1-1/4IN HDPE FORCE MAIN,L.F.
797-02.03,1-1/2IN HDPE FORCE MAIN,L.F.
797-02.04,2IN HDPE FORCE MAIN,L.F.
797-02.05,3IN HDPE FORCE MAIN,L.F.
797-02.06,4IN HDPE FORCE MAIN,L.F.
797-02.07,6IN HDPE FORCE MAIN,L.F.
797-02.08,8IN HDPE FORCE MAIN,L.F.
797-02.10,12IN HDPE FORCE MAIN,L.F.
797-02.11,16IN HDPE FORCE MAIN,L.F.
797-02.46,8IN HDPE GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-02.62,18IN HDPE GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-03.02,1-1/4IN PVC FORCE MAIN,L.F.
797-03.03,1-1/2IN PVC FORCE MAIN,L.F.
797-03.04,2IN PVC FORCE MAIN,L.F.
797-03.05,3IN PVC FORCE MAIN,L.F.
797-03.06,4IN PVC FORCE MAIN,L.F.
797-03.07,8IN PVC FORCE MAIN,L.F.
797-03.08,6IN PVC FORCE MAIN,L.F.
797-03.09,10IN PVC FORCE MAIN,L.F.
797-03.10,12IN PVC FORCE MAIN,L.F.
797-03.16,__IN PVC FORCE MAIN,L.F.
797-03.30,2IN PVC FORCE MAIN (0-8FT),L.F.
797-03.38,4IN PVC FORCE MAIN (0-8FT),L.F.
797-04.03,6IN FPVC FORCE MAIN,L.F.
797-04.09,20IN FPVC FORCE MAIN,L.F.
797-05.01,8IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.02,8IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.03,8IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.04,8IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
797-05.05,10IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.06,10IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.07,10IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.08,10IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
797-05.09,12IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.10,12IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.11,12IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.12,12IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
797-05.13,16IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.14,16IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.15,16IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.16,16IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
797-05.17,18IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.18,18IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.19,18IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.20,18IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
797-05.21,24IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.22,24IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.23,24IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.24,24IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
797-05.26,36IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.27,36IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.29,__IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.
797-05.30,__IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.
797-05.31,__IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.
797-05.32,__IN DIP GRAVITY SEWER >18FT DEPTH,L.F.
